type,name,age,breed,size,weight,dogs,cats,kids,energy,affection,new_people,training,image_url
Dog,Hops,2,Mixed Breed (Medium),,6.54,3,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e4e8d55b7dec6410b7b7270daa12e8ef/7574ff7858bcc1594a8114bae4172a50.jpeg
Dog,Briar,2,Mixed Breed (Medium),,16.9756,3,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/042c4eff5ed22dd1567acecea27af37e/757ba184f34829a7f0c1e2519404175f.jpeg
Dog,Trumpet,2,Mixed Breed (Medium),,17.637,3,2,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/0e51583569ff136a74303867869a60d3/f52f476a40d47e656606ee672e6c7666.jpeg
Cat,Jello,4,Domestic Shorthair,,4,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/da9423fc027b0251623efcefabe97218/988a4d027948407010a69a60bed6a1a6.jpg
Cat,Mellow,4,Domestic Shorthair,,4.32,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3799a21f61d63e08b9ee8502a6ce2d92/af5bb955a580e5ec78761dabcfd4fbf6.jpg
Cat,Sweet Potato,2,Domestic Shorthair,,3.43,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/124b678f699e8ee2b291c07a6722f576/20f8ba16039e2674866a358971bcdd77.jpg
Dog,Charlie,98,Mixed Breed (Small),,21.6,3,4,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/fe2943c2a135c611f52e1a19b947b3d4/23aca82e7cd6371ebc96d3f44cdf0e49.jpg
Cat,Big Foot,2,Domestic Shorthair,,0.4674,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3eefde514599a5bf0b5020bc007b0ef8/eb551cf37f2904efd54a1dc79c4fc5c2.jpg
Dog,Abigail,3,Mixed Breed (Medium),,14.6,4,3,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/c6b17089dffc38160b968757054d9e99/cf4cf7aad0b5f0979604b7021dfc9473.jpg
Dog,Sullivan,3,Mixed Breed (Medium),,14.8,3,4,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/96cde403e82ba5bcc5a1a01383fd15ef/60e30b9d43cdff4799d1b80e02fbc0ec.jpg
